Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund,url
All American Bank,Des Plaines,IL,57759,International Bank of Chicago,"October 28, 2011",10409,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/allamerican.html
Community Banks of Colorado,Greenwood Village,CO,21132,"Bank Midwest, N.A.","October 21, 2011",10405,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/commbanksco.html
Community Capital Bank,Jonesboro,GA,57036,State Bank and Trust Company,"October 21, 2011",10406,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/commcapbk.html
Decatur First Bank,Decatur,GA,34392,Fidelity Bank,"October 21, 2011",10407,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/decatur.html
Old Harbor Bank,Clearwater,FL,57537,1st United Bank,"October 21, 2011",10408,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/oldharbor.html
Country Bank,Aledo,IL,35395,Blackhawk Bank & Trust,"October 14, 2011",10402,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/countrybank.html
First State Bank,Cranford,NJ,58046,Northfield Bank,"October 14, 2011",10403,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firststatebank-nj.html
"Blue Ridge Savings Bank, Inc.",Asheville,NC,32347,Bank of North Carolina,"October 14, 2011",10401,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/blueridge.html
Piedmont Community Bank,Gray,GA,57256,State Bank and Trust Company,"October 14, 2011",10404,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/piedmont-ga.html
Sun Security Bank,Ellington,MO,20115,Great Southern Bank,"October 7, 2011",10400,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sunsecurity.html
The RiverBank,Wyoming,MN,10216,Central Bank,"October 7, 2011",10399,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/riverbank.html
First International Bank,Plano,TX,33513,American First National Bank,"September 30, 2011",10398,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstintlbank.html
Citizens Bank of Northern California,Nevada City,CA,33983,Tri Counties Bank,"September 23, 2011",10397,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cbnc.html
Bank of the Commonwealth,Norfolk,VA,20408,Southern Bank and Trust Company,"September 23, 2011",10396,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/boc-va.html
The First National Bank of Florida,Milton,FL,25155,CharterBank,"September 9, 2011",10395,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fnbf.html
CreekSide Bank,Woodstock,GA,58226,Georgia Commerce Bank,"September 2, 2011",10393,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/creekside.html
Patriot Bank of Georgia,Cumming,GA,58273,Georgia Commerce Bank,"September 2, 2011",10394,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/patriot.html
First Choice Bank,Geneva,IL,57212,Inland Bank & Trust,"August 19, 2011",10390,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstchoice-il.html
First Southern National Bank,Statesboro,GA,57239,Heritage Bank of the South,"August 19, 2011",10391,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstsouthern-ga.html
Lydian Private Bank,Palm Beach,FL,35356,"Sabadell United Bank, N.A.","August 19, 2011",10392,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/lydian.html
Public Savings Bank,Huntingdon Valley,PA,34130,"Capital Bank, N.A.","August 18, 2011",10389,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/publicsvgs.html
The First National Bank of Olathe,Olathe,KS,4744,Enterprise Bank & Trust,"August 12, 2011",10388,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fnbo.html
Bank of Whitman,Colfax,WA,22528,Columbia State Bank,"August 5, 2011",10387,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/whitman.html
Bank of Shorewood,Shorewood,IL,22637,Heartland Bank and Trust Company,"August 5, 2011",10386,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/shorewood.html
Integra Bank National Association,Evansville,IN,4392,Old National Bank,"July 29, 2011",10384,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/integra.html
"BankMeridian, N.A.",Columbia,SC,58222,SCBT National Association,"July 29, 2011",10383,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankmeridian.html
Virginia Business Bank,Richmond,VA,58283,Xenith Bank,"July 29, 2011",10385,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/vbb.html
Bank of Choice,Greeley,CO,2994,"Bank Midwest, N.A.","July 22, 2011",10380,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankofchoice.html
LandMark Bank of Florida,Sarasota,FL,35244,American Momentum Bank,"July 22, 2011",10381,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/landmark.html
Southshore Community Bank,Apollo Beach,FL,58056,American Momentum Bank,"July 22, 2011",10382,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/southshore.html
Summit Bank,Prescott,AZ,57442,The Foothills Bank,"July 15, 2011",10379,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/summitbank.html
First Peoples Bank,Port St. Lucie,FL,34870,"Premier American Bank, N.A.","July 15, 2011",10376,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstpeoples.html
High Trust Bank,Stockbridge,GA,19554,Ameris Bank,"July 15, 2011",10377,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/hightrust.html
One Georgia Bank,Atlanta,GA,58238,Ameris Bank,"July 15, 2011",10378,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/onegeorgia.html
Signature Bank,Windsor,CO,57835,Points West Community Bank,"July 8, 2011",10375,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/signaturebank.html
Colorado Capital Bank,Castle Rock,CO,34522,First-Citizens Bank & Trust Company,"July 8, 2011",10373,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/coloradocapital.html
First Chicago Bank & Trust,Chicago,IL,27935,Northbrook Bank & Trust Company,"July 8, 2011",10374,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstchicago.html
Mountain Heritage Bank,Clayton,GA,57593,First American Bank and Trust Company,"June 24, 2011",10372,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mountain.html
First Commercial Bank of Tampa Bay,Tampa,FL,27583,Stonegate Bank,"June 17, 2011",10370,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fcbtb.html
McIntosh State Bank,Jackson,GA,19237,Hamilton State Bank,"June 17, 2011",10371,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mcintoshstate.html
Atlantic Bank and Trust,Charleston,SC,58420,"First Citizens Bank and Trust Company, Inc.","June 3, 2011",10369,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/atlanticbanktrust.html
First Heritage Bank,Snohomish,WA,23626,Columbia State Bank,"May 27, 2011",10368,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstheritage.html
Summit Bank,Burlington,WA,513,Columbia State Bank,"May 20, 2011",10367,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/summit.html
First Georgia Banking Company,Franklin,GA,57647,"CertusBank, National Association","May 20, 2011",10366,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fgbc.html
Atlantic Southern Bank,Macon,GA,57213,"CertusBank, National Association","May 20, 2011",10365,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/atlanticsthrn.html
Coastal Bank,Cocoa Beach,FL,34898,"Florida Community Bank, a division of Premier American Bank, N.A.","May 6, 2011",10364,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/coastal-fl.html
Community Central Bank,Mount Clemens,MI,34234,Talmer Bank & Trust,"April 29, 2011",10359,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/communitycentral.html
The Park Avenue Bank,Valdosta,GA,19797,Bank of the Ozarks,"April 29, 2011",10363,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/parkavenue-ga.html
