Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund,url
Heritage Bank of North Florida,Orange Park,FL,26680,FirstAtlantic Bank,"April 19, 2013",10475,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/heritagebank-fl.html
First Federal Bank,Lexington,KY,29594,Your Community Bank,"April 19, 2013",10474,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstfederal-ky.html
Gold Canyon Bank,Gold Canyon,AZ,58066,"First Scottsdale Bank, National Association","April 5, 2013",10472,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/goldcanyon.html
Frontier Bank,LaGrange,GA,16431,HeritageBank of the South,"March 8, 2013",10471,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/frontier-ga.html
Covenant Bank,Chicago,IL,22476,Liberty Bank and Trust Company,"February 15, 2013",10470,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/covenant-il.html
1st Regents Bank,Andover,MN,57157,First Minnesota Bank,"January 18, 2013",10469,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/1stregents.html
Westside Community Bank,University Place,WA,33997,Sunwest Bank,"January 11, 2013",10468,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/westside.html
Community Bank of the Ozarks,Sunrise Beach,MO,27331,Bank of Sullivan,"December 14, 2012",10467,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cmbkozarks.html
Hometown Community Bank,Braselton,GA,57928,"CertusBank, National Association","November 16, 2012",10466,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/hometown.html
Citizens First National Bank,Princeton,IL,3731,Heartland Bank and Trust Company,"November 2, 2012",10464,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cfnb.html
Heritage Bank of Florida,Lutz,FL,35009,Centennial Bank,"November 2, 2012",10465,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/heritage-fl.html
NOVA Bank,Berwyn,PA,27148,No Acquirer,"October 26, 2012",10463,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/novabank.html
Excel Bank,Sedalia,MO,19189,Simmons First National Bank,"October 19, 2012",10460,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/excelbank.html
First East Side Savings Bank,Tamarac,FL,28144,Stearns Bank N.A.,"October 19, 2012",10461,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firsteastside.html
GulfSouth Private Bank,Destin,FL,58073,SmartBank,"October 19, 2012",10462,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/gulfsouth.html
First United Bank,Crete,IL,20685,"Old Plank Trail Community Bank, National Association","September 28, 2012",10459,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstunited.html
Truman Bank,St. Louis,MO,27316,Simmons First National Bank,"September 14, 2012",10458,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/truman.html
First Commercial Bank,Bloomington,MN,35246,Republic Bank & Trust Company,"September 7, 2012",10457,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstcommbk-mn.html
Waukegan Savings Bank,Waukegan,IL,28243,First Midwest Bank,"August 3, 2012",10456,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/waukegan.html
Jasper Banking Company,Jasper,GA,16240,Stearns Bank N.A.,"July 27, 2012",10455,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/jasper.html
Second Federal Savings and Loan Association of Chicago,Chicago,IL,27986,Hinsdale Bank & Trust Company,"July 20, 2012",10453,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/secondfederal.html
Heartland Bank,Leawood,KS,1361,Metcalf Bank,"July 20, 2012",10452,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/heartland.html
First Cherokee State Bank,Woodstock,GA,32711,Community & Southern Bank,"July 20, 2012",10450,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cherokee.html
Georgia Trust Bank,Buford,GA,57847,Community & Southern Bank,"July 20, 2012",10451,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/georgiatrust.html
The Royal Palm Bank of Florida,Naples,FL,57096,First National Bank of the Gulf Coast,"July 20, 2012",10454,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/royalpalm.html
Glasgow Savings Bank,Glasgow,MO,1056,Regional Missouri Bank,"July 13, 2012",10449,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/glasgow.html
Montgomery Bank & Trust,Ailey,GA,19498,Ameris Bank,"July 6, 2012",10448,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/montgomery.html
The Farmers Bank of Lynchburg,Lynchburg,TN,1690,Clayton Bank and Trust,"June 15, 2012",10447,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/farmersbank.html
Security Exchange Bank,Marietta,GA,35299,Fidelity Bank,"June 15, 2012",10446,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/securityexchange.html
Putnam State Bank,Palatka,FL,27405,Harbor Community Bank,"June 15, 2012",10445,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/putnam.html
Waccamaw Bank,Whiteville,NC,34515,First Community Bank,"June 8, 2012",10444,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/waccamaw.html
Farmers' and Traders' State Bank,Shabbona,IL,9257,First State Bank,"June 8, 2012",10442,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ftsb.html
Carolina Federal Savings Bank,Charleston,SC,35372,Bank of North Carolina,"June 8, 2012",10441,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/carolina.html
First Capital Bank,Kingfisher,OK,416,F & M Bank,"June 8, 2012",10443,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstcapital.html
"Alabama Trust Bank, National Association",Sylacauga,AL,35224,Southern States Bank,"May 18, 2012",10440,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/alabamatrust.html
"Security Bank, National Association",North Lauderdale,FL,23156,Banesco USA,"May 4, 2012",10439,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/securitybank.html
Palm Desert National Bank,Palm Desert,CA,23632,Pacific Premier Bank,"April 27, 2012",10437,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/palmdesert.html
Plantation Federal Bank,Pawleys Island,SC,32503,First Federal Bank,"April 27, 2012",10438,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/plantation.html
"Inter Savings Bank, fsb D/B/A InterBank, fsb",Maple Grove,MN,31495,Great Southern Bank,"April 27, 2012",10436,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/interbank.html
HarVest Bank of Maryland,Gaithersburg,MD,57766,Sonabank,"April 27, 2012",10435,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/harvest.html
Bank of the Eastern Shore,Cambridge,MD,26759,No Acquirer,"April 27, 2012",10434,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/easternshore.html
"Fort Lee Federal Savings Bank, FSB",Fort Lee,NJ,35527,Alma Bank,"April 20, 2012",10433,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fortlee.html
Fidelity Bank,Dearborn,MI,33883,The Huntington National Bank,"March 30, 2012",10432,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fidelity.html
Premier Bank,Wilmette,IL,35419,International Bank of Chicago,"March 23, 2012",10431,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/premier-il.html
Covenant Bank & Trust,Rock Spring,GA,58068,"Stearns Bank, N.A.","March 23, 2012",10430,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/covenant.html
New City Bank,Chicago,IL,57597,No Acquirer,"March 9, 2012",10429,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/newcity.html
Global Commerce Bank,Doraville,GA,34046,Metro City Bank,"March 2, 2012",10428,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/global.html
Home Savings of America,Little Falls,MN,29178,No Acquirer,"February 24, 2012",10427,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/homesvgs.html
Central Bank of Georgia,Ellaville,GA,5687,Ameris Bank,"February 24, 2012",10426,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cbg.html
SCB Bank,Shelbyville,IN,29761,"First Merchants Bank, National Association","February 10, 2012",10425,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/scbbank.html
Charter National Bank and Trust,Hoffman Estates,IL,23187,"Barrington Bank & Trust Company, National Association","February 10, 2012",10424,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cnbt.html
BankEast,Knoxville,TN,19869,"U.S. Bank, N.A.","January 27, 2012",10420,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankeast.html
Patriot Bank Minnesota,Forest Lake,MN,34823,First Resource Bank,"January 27, 2012",10422,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/patriot-mn.html
Tennessee Commerce Bank,Franklin,TN,35296,Republic Bank & Trust Company,"January 27, 2012",10423,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/tcb.html
First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,FL,16579,"CenterState Bank of Florida, N.A.","January 27, 2012",10421,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fgbtcj.html
American Eagle Savings Bank,Boothwyn,PA,31581,"Capital Bank, N.A.","January 20, 2012",10417,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/americaneagle.html
The First State Bank,Stockbridge,GA,19252,Hamilton State Bank,"January 20, 2012",10419,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firststatebank-ga.html
Central Florida State Bank,Belleview,FL,57186,"CenterState Bank of Florida, N.A.","January 20, 2012",10418,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cfsb.html
Western National Bank,Phoenix,AZ,57917,Washington Federal,"December 16, 2011",10416,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/westernnatl.html
Premier Community Bank of the Emerald Coast,Crestview,FL,58343,Summit Bank,"December 16, 2011",10415,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/premier-fl.html
Central Progressive Bank,Lacombe,LA,19657,First NBC Bank,"November 18, 2011",10413,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/centralprog.html
Polk County Bank,Johnston,IA,14194,Grinnell State Bank,"November 18, 2011",10414,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/polkcounty.html
Community Bank of Rockmart,Rockmart,GA,57860,Century Bank of Georgia,"November 10, 2011",10412,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/rockmart.html
SunFirst Bank,Saint George,UT,57087,Cache Valley Bank,"November 4, 2011",10411,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sunfirst.html
"Mid City Bank, Inc.",Omaha,NE,19397,Premier Bank,"November 4, 2011",10410,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/midcity.html
